entity,account,metric,scope,measure_type,site,period_id,period_number,period_end,numeric_value,raw_value,value_unit,sheet
acc_hr,Invoices,Invoices (Sales/Purchase),period,actual,,202501,1,2025-04-26,2075.0,"2,075",currency,P1_ACC:HR
acc_hr,Invoices,Invoices (Sales/Purchase),period,budget,,202501,1,2025-04-26,2253.0,"2,253",currency,P1_ACC:HR
acc_hr,Invoices,Invoices (Sales/Purchase),cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,2075.0,"2,075",currency,P1_ACC:HR
acc_hr,Invoices,Invoices (Sales/Purchase),cur_vs_last_ytd,last_year,,202501,1,2025-04-26,2253.0,"2,253",currency,P1_ACC:HR
acc_hr,Invoices,Credit Notes,period,actual,,202501,1,2025-04-26,0.0,0,number,P1_ACC:HR
acc_hr,Invoices,Credit Notes,period,budget,,202501,1,2025-04-26,0.0,0,number,P1_ACC:HR
acc_hr,Invoices,Credit Notes,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,0.0,0,number,P1_ACC:HR
acc_hr,Invoices,Credit Notes,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,0.0,0,number,P1_ACC:HR
acc_hr,Invoices,Total,period,actual,,202501,1,2025-04-26,2075.0,"2,075",number,P1_ACC:HR
acc_hr,Invoices,Total,period,budget,,202501,1,2025-04-26,2253.0,"2,253",number,P1_ACC:HR
acc_hr,Invoices,Total,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,2075.0,"2,075",number,P1_ACC:HR
acc_hr,Invoices,Total,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,2253.0,"2,253",number,P1_ACC:HR
acc_hr,Liquidity Days,Days - Debtors,period,actual,,202501,1,2025-04-26,60.0,60,number,P1_ACC:HR
acc_hr,Liquidity Days,Days - Debtors,period,budget,,202501,1,2025-04-26,38.0,38,number,P1_ACC:HR
acc_hr,Liquidity Days,Days - Debtors,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,60.0,60,number,P1_ACC:HR
acc_hr,Liquidity Days,Days - Debtors,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,51.0,51,number,P1_ACC:HR
acc_hr,Liquidity Days,Days - Creditors,period,actual,,202501,1,2025-04-26,51.0,51,number,P1_ACC:HR
acc_hr,Liquidity Days,Days - Creditors,period,budget,,202501,1,2025-04-26,40.0,40,number,P1_ACC:HR
acc_hr,Liquidity Days,Days - Creditors,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,51.0,51,number,P1_ACC:HR
acc_hr,Liquidity Days,Days - Creditors,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,39.0,39,number,P1_ACC:HR
acc_hr,Liquidity Days,Variance,period,actual,,202501,1,2025-04-26,-10.0,-10,number,P1_ACC:HR
acc_hr,Liquidity Days,Variance,period,budget,,202501,1,2025-04-26,2.0,2,number,P1_ACC:HR
acc_hr,Liquidity Days,Variance,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,-10.0,-10,number,P1_ACC:HR
acc_hr,Liquidity Days,Variance,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,-12.0,-12,number,P1_ACC:HR
acc_hr,Head Count,AC Indirect - OD/Finance,period,actual,,202501,1,2025-04-26,6.0,6,headcount,P1_ACC:HR
acc_hr,Head Count,AC Indirect - OD/Finance,period,budget,,202501,1,2025-04-26,6.0,6,headcount,P1_ACC:HR
acc_hr,Head Count,AC Indirect - OD/Finance,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,6.0,6,headcount,P1_ACC:HR
acc_hr,Head Count,AC Indirect - OD/Finance,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,7.0,7,headcount,P1_ACC:HR
acc_hr,Head Count,AC Indirect - PA/HR/Recruit,period,actual,,202501,1,2025-04-26,3.0,3,headcount,P1_ACC:HR
acc_hr,Head Count,AC Indirect - PA/HR/Recruit,period,budget,,202501,1,2025-04-26,3.0,3,headcount,P1_ACC:HR
acc_hr,Head Count,AC Indirect - PA/HR/Recruit,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,3.0,3,headcount,P1_ACC:HR
acc_hr,Head Count,AC Indirect - PA/HR/Recruit,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,3.0,3,headcount,P1_ACC:HR
acc_hr,Head Count,Total,period,actual,,202501,1,2025-04-26,9.0,9,headcount,P1_ACC:HR
acc_hr,Head Count,Total,period,budget,,202501,1,2025-04-26,9.0,9,headcount,P1_ACC:HR
acc_hr,Head Count,Total,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,9.0,9,headcount,P1_ACC:HR
acc_hr,Head Count,Total,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,10.0,10,headcount,P1_ACC:HR
acc_hr,Hours,AC Indirect - OD/Finance,period,actual,,202501,1,2025-04-26,1036.0,"1,036",hours,P1_ACC:HR
acc_hr,Hours,AC Indirect - OD/Finance,period,budget,,202501,1,2025-04-26,924.0,924,hours,P1_ACC:HR
acc_hr,Hours,AC Indirect - OD/Finance,cur_vs_last_ytd,cur_year,,202501,1,2025-04-26,1036.0,"1,036",hours,P1_ACC:HR
acc_hr,Hours,AC Indirect - OD/Finance,cur_vs_last_ytd,last_year,,202501,1,2025-04-26,1147.0,"1,147",hours,P1_ACC:HR
acc_hr,Hours,AC Indirect - PA/HR/Recruit,period,actual,,202501,1,2025-04-26,388.0,388,hours,P1_ACC:HR
